title,date,summary,operator,passengers,crew,fatalities,survivors
Saudia Flight 163,19 August 1980,"In-flight fire in cargo hold, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Saudia,287,14,301,0
Florida Commuter Airline crash,"September 12, 1980",Undetermined,Florida Commuter Airlines,30,4,34,0
Korean Air Lines Flight 015,19&#160;November&#160;1980,"<a href=""/wiki/CFIT"" class=""mw-redirect"" title=""CFIT"">Controlled Flight Into Terrain</a>",Korean Air,206,20,15,211
Saudia Flight 162,22 December 1980,Uncontrolled decompression due to mechanical failure,Saudi Arabian Airlines,272,20,2,290
Garuda Indonesia Flight 206,28 March 1981,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",Garuda Indonesia,48,5,5,46
Aer Lingus flight 164,,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",Aer Lingus,103,10,0,113
Aeroflot Flight 498,14&#160;June&#160;1981,Crew error,Aeroflot,44,4,48,0
Dan-Air Flight 240,26 June 1981,cabin door failure leading to loss of control,Dan-Air Services Ltd,0,3,3,0
Somali Airlines Flight 40,20 July 1981,Structural failure due to loss of control in extreme turbulence.,Somali Airlines,44,6,50,0
Aeroméxico Flight 230,27 July 1981,Slid off runway in bad weather,Aeromexico,60,6,32,34
Far Eastern Air Transport Flight 103,22 August 1981,"<a href=""/wiki/Explosive_decompression"" class=""mw-redirect"" title=""Explosive decompression"">Explosive decompression</a>",Far Eastern Air Transport,104,6,110,0
Aeroflot Flight 811,24 August 1981,"<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a>",Soviet Air Forces,27,5,31,1
Aeropesca Colombia Flight 221,26 August 1981,Controlled flight into terrain (CFIT),Aeropesca Colombia,44,6,50,0
NLM CityHopper Flight 431,6 October 1981,"<a href=""/wiki/Structural_failure"" class=""mw-redirect"" title=""Structural failure"">Structural failure</a> in severe turbulence<sup id=""cite_ref-FI1982_1-0"" class=""reference""><a href=""#cite_note-FI1982-1"">[1]</a></sup><sup class=""reference"" style=""white-space:nowrap;"">:183</sup>",NLM CityHopper,13,4,17,0
Air Florida Flight 90,"January 13, 1982","Faulty engine gauge readings caused by <a href=""/wiki/Atmospheric_icing"" title=""Atmospheric icing"">Atmospheric icing</a> and <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>; stalled shortly after taking off",Air Florida,74,5,78,5
World Airways Flight 30,23 January 1982,Runway overshoot,World Airways,200,12,2,210
Widerøe Flight 933,11 March 1982,"<a href=""/wiki/Vertical_stabilizer"" title=""Vertical stabilizer"">Vertical stabilizer</a> and <a href=""/wiki/Rudder"" title=""Rudder"">rudder</a> <a href=""/wiki/Structural_failure"" class=""mw-redirect"" title=""Structural failure"">structural failure</a> during severe <a href=""/wiki/Clear-air_turbulence"" title=""Clear-air turbulence"">clear-air turbulence</a>",Widerøe,13,2,15,0
1982 Garuda Fokker F28 crash,20 March 1982,Runway overrun in bad weather,Garuda Indonesia,23,4,27,0
VASP Flight 168,"June 8, 1982","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a> leading to <a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",VASP,128,9,137,0
1982 TABA Fairchild FH-227 accident,12 June 1982,Hit obstacle during approach in bad weather,TABA – Transportes Aéreos da Bacia Amazônica,40,4,44,0
Air India Flight 403,21 June 1982,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Air India,99,12,17,94
British Airways Flight 9,24 June 1982,"Quadruple engine <a href=""/wiki/Flameout"" title=""Flameout"">flameout</a> due to <a href=""/wiki/Volcanic_ash_and_aviation_safety"" title=""Volcanic ash and aviation safety"">blockage by volcanic ash</a>",British Airways,248,15,0,263
Aeroflot Flight 8641,"June 28, 1982","<a href=""/wiki/Jackscrew"" title=""Jackscrew"">Jackscrew</a> failure due to metal fatigue; design flaw",Aeroflot,124,8,132,0
Aeroflot Flight 411,6 July 1982,Low-altitude stall,Aeroflot,82,8,90,0
1982 Aerocondor DHC-4 Caribou accident,1 September 1982,CFIT in bad weather due to spatial disorientation,Aerocondor,41,3,44,0
Spantax Flight 995,13 September 1982,Aborted take-off,Spantax,381,13,50,344
Aeroflot Flight 343,29&#160;September&#160;1982,"<a href=""/wiki/Runway_excursion"" class=""mw-redirect"" title=""Runway excursion"">Runway excursion</a>",Aeroflot,66,11,7,70
Aeronor Flight 304,"December 9, 1982",Engine failure,Aircraft registration,42,4,46,0
Turkish Airlines Flight 158,16 January 1983,Runway undershot in bad weather conditions,Turkish Airlines,60,7,47,20
1983 Avensa Douglas DC-9 crash,11 March 1983,Pilot error in bad weather,Avensa,45,5,23,27
Eastern Airlines Flight 855,5 May 1983,"<a href=""/wiki/Engine_failure"" class=""mw-redirect"" title=""Engine failure"">Engine failure</a>",Eastern Air Lines,162,10,0,172
Air Canada Flight 797,2 June 1983,In-flight fire caused by unknown origin,Air Canada,41,5,23,23
1983 British Airways Sikorsky S-61 crash,16 July 1983,Pilot error in poor visibility,British Airways Helicopters,23,3,20,6
Air Canada Flight 143,"July 23, 1983","<a href=""/wiki/Fuel_exhaustion"" class=""mw-redirect"" title=""Fuel exhaustion"">Fuel exhaustion</a> due to insufficient refueling and improper maintenance",Air Canada,61,8,0,69
Aeroflot Flight 5463,30 August 1983,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Aeroflot,84,6,90,0
Korean Air Lines Flight 007,"September 1, 1983","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, navigation error, <a href=""/wiki/List_of_airliner_shootdown_incidents"" title=""List of airliner shootdown incidents"">shootdown</a> by the Soviet military",Korean Air,246,23,269,0
Gulf Air Flight 771,23 September 1983,Terrorist bombing,Gulf Air,107,5,112,0
Air Illinois Flight 710,"October 11, 1983",Electrical failure leading to pilot error,Air Illinois,7,3,10,0
Aeroflot Flight 6833,18 November 1983,Hijacking,Aeroflot,57,7,8,56
Madrid runway disaster,7 December 1983,"<a href=""/wiki/Runway_safety#Runway_incusion"" title=""Runway safety"">Runway incursion</a> due to inadequate signs and markings",Aviaco,84,9,51,42
Aeroflot Flight 601,24&#160;December&#160;1983,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Aeroflot,44,5,44,5
1984 Biman Bangladesh Airlines Fokker F27 crash,5 August 1984,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a><sup id=""cite_ref-ASN_1-0"" class=""reference""><a href=""#cite_note-ASN-1"">[1]</a></sup> due to bad weather<sup id=""cite_ref-FI1985-35_2-0"" class=""reference""><a href=""#cite_note-FI1985-35-2"">[2]</a></sup>",Biman Bangladesh Airlines,45,4,49,0
"<a href=""/wiki/Cameroon_Airlines"" title=""Cameroon Airlines"">Cameroon Airlines</a> Flight 786",30 August 1984,Fire (during taxi),Cameroon Airlines,109,7,2,114
Aeroflot Flight 3352,11 October 1984,"<a href=""/wiki/Runway_incursion"" title=""Runway incursion"">Runway incursion</a> due to <a href=""/wiki/Air_traffic_controller"" title=""Air traffic controller"">ATC</a> error",Aeroflot,170,9,178,5
PBA Flight 1039,"December 6, 1984",Maintenance error,Provincetown-Boston Airlines,11,2,13,0
Aeroflot Flight 3519,"December&#160;23,&#160;1984","Uncontained engine failure, in-flight fire",Aeroflot,104,7,110,1
Eastern Air Lines Flight 980,1 January 1985,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Eastern Air Lines,19,10,29,0
Galaxy Airlines Flight 203,"January 21, 1985",Pilot/Ground Crew error,Galaxy Airlines (USA),65,6,70,1
Aeroflot Flight 7841,1 February 1985,"Double engine failure, due to ice ingestion",Aeroflot,74,6,58,22
Iberia Airlines Flight 610,19 February 1985,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Iberia (airline),141,7,148,0
Braathen SAFE Flight 139,21 June 1985,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",Braathens,116,5,0,121
Air India Flight 182,,"Aviation <a href=""/wiki/Bombing"" class=""mw-redirect"" title=""Bombing"">bombing</a>",Air India,307,22,329,0
Aeroflot Flight 7425,10 July 1985,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Aeroflot,191,9,200,0
Delta Air Lines Flight 191,"August 2, 1985","Loss of control caused by a <a href=""/wiki/Microburst"" title=""Microburst"">microburst</a>, struck the ground short of runway",Delta Air Lines,152,11,137,27
"Japan Airlines Flight 123<br />
日本航空123便","August 12, 1985","In-flight structural failure leading to explosive decompression, destruction of control systems &amp; loss of control",Japan Airlines,509,15,520,4
Midwest Express Flight 105,"September 6, 1985","Engine failure on take-off and <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Midwest Express Airlines,27,4,31,0
EgyptAir Flight 648,23-24 November 1985,Hijacking,EgyptAir,89,6,60,38
Arrow Air Flight 1285,12 December 1985,"<a href=""/wiki/Icing_conditions"" title=""Icing conditions"">Icing conditions</a>, weight and reference speeds miscalculation (on board fire and possible internal explosion per minority report)",Arrow Air,248,8,256,0
Mexicana Flight 940,"March 31, 1986","In-flight fire due to maintenance error, leading to loss of hydraulic and electrical systems.",Mexicana de Aviacion,159,8,167,0
TWA Flight 840,"April 2, 1986",Bombing,Trans World Airlines,115,7,4,118
Air Lanka Flight 512,3&#160;May&#160;1986,Suicide bombing,Air Lanka,128,20,21,127
"Aeroméxico Flight 498<br />
Piper Archer N4891F","August 31, 1986","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a> from incoming Piper and lack of automated collision warning systems",Aircraft registration,58,6,64,0
Pan Am Flight 73,"September 5, 1986",Hijacking,Pan American World Airways,360,19,20,336
Aeroflot Flight 6502,20&#160;October&#160;1986,Pilot negligence,Aeroflot,87,7,70,24
Varig Flight 797,3 January 1987,"<a href=""/wiki/EFTO"" class=""mw-redirect"" title=""EFTO"">EFTO</a> leading to loss of controls",Varig,39,12,50,1
Aeroflot Flight 505,"Jan 16, 1987",Wake turbulence,Aeroflot,5,4,9,0
Northwest Airlink Flight 2268,4 March 1987,Pilot error,Northwest Airlink,16,3,9,10
Garuda Indonesia Flight 035,4 April 1987,Crashed on approach in bad weather,Garuda Indonesia,37,8,23,22
American Eagle Flight 5452,,"Improper maintenance, pilot error",Executive Airlines,4,2,2,4
Aeroflot Flight 528,"June 19, 1987, 11:22 local time","Runway overrun on landing, followed by attempted and then aborted go-around, human error",Aeroflot,24,5,8,21
Philippine Airlines Flight 206,"June 26, 1987","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> due to bad weather",Philippine Airlines,46,4,50,0
Northwest Airlines Flight 255,"August 16, 1987","Improper take-off configuration due to pilot mis-management of aircraft and confusion<sup id=""cite_ref-AAR-88-05_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-88-05_Final_Report-1"">[1]</a></sup>",Northwest Airlines,149,6,156,1
Aero Trasporti Italiani Flight 460,15 October 1987,"Disputed- Pilot Error (ATR), Icing and Design Flaw (Investigators)",Aero Trasporti Italiani,34,3,37,0
Continental Airlines Flight 1713,"November 15, 1987","Loss of control due to <a href=""/wiki/Atmospheric_icing"" title=""Atmospheric icing"">atmospheric icing</a><sup id=""cite_ref-Final_Report_AAR-88-09_1-0"" class=""reference""><a href=""#cite_note-Final_Report_AAR-88-09-1"">[1]</a></sup>",Continental Airlines,77,5,28,54
South African Airways Flight 295,28 November 1987,In-flight fire in cargo hold (cause undetermined and disputed),South African Airways,140,19,159,0
Korean Air Flight 858,29 November 1987,"<a href=""/wiki/Bomb"" title=""Bomb"">Bombing</a>, <a href=""/wiki/State_terrorism"" title=""State terrorism"">state terrorism</a>",Korean Air,104,11,115,0
PSA Flight 1771,"December&#160;7, 1987","<a href=""/wiki/Mass_murder"" title=""Mass murder"">Mass</a> <a href=""/wiki/Murder%E2%80%93suicide"" title=""Murder–suicide"">murder–suicide</a>",Pacific Southwest Airlines,38,5,43,0
Philippine Airlines Flight 443,"December 13, 1987","<a href=""/wiki/CFIT"" class=""mw-redirect"" title=""CFIT"">CFIT</a>",Philippine Airlines,11,4,15,0
Trans-Colorado Airlines Flight 2286,"January 19, 1988","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, <a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a><sup id=""cite_ref-AAR-89-01_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-89-01_Final_Report-1"">[1]</a></sup>",Trans-Colorado Airlines,15,2,9,8
AVAir Flight 3378,19 February 1988,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>, pilot error",Aircraft registration,10,2,12,0
TAT Flight 230,4 March 1988,Electrical failure leading to crash,TAT European Airlines,20,3,23,0
Avianca Flight 410,"March 17, 1988","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> (<a href=""/wiki/CFIT"" class=""mw-redirect"" title=""CFIT"">CFIT</a>)",Avianca,136,7,143,0
Aloha Airlines Flight 243,"April 28, 1988","<a href=""/wiki/Uncontrolled_decompression#explosive_decompression"" title=""Uncontrolled decompression"">Explosive decompression</a> caused by metal fatigue, maintenance error<sup id=""cite_ref-AAR-89-03_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-89-03_Final_Report-1"">[1]</a></sup>",Aloha Airlines,90,5,1,94
Widerøe Flight 710,6 May 1988,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Widerøe,33,3,36,0
TACA Flight 110,"May 24, 1988",Dual engine flameout due to poor weather followed by emergency landing,Avianca El Salvador,38,7,0,45
Austral Líneas Aéreas Flight 46,"June 12, 1988","Undershot the runway due to reduced visibility, pilot error",Austral Líneas Aéreas,16,6,22,0
Air France Flight 296,,"
<p>Disputed:</p>
<ul>
<li><a href=""/wiki/Pilot_Error"" class=""mw-redirect"" title=""Pilot Error"">Pilot Error</a> (BEA)</li>
<li>Fly-by-wire system error (Captain Asseline)</li>
</ul>
",Air France,130,6,3,133
Iran Air Flight 655,3 July 1988,"Shot down by <a href=""/wiki/USS_Vincennes_(CG-49)"" title=""USS Vincennes (CG-49)"">USS&#160;<i>Vincennes</i></a>",Iran Air,274,16,290,0
CAAC Flight 301,"August 31, 1988",A combination of pilot error and bad weather,CAAC Airlines,78,11,7,82
Delta Air Lines Flight 1141,"August 31, 1988","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, improper maintenance<sup id=""cite_ref-AAR-89-04_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-89-04_Final_Report-1"">[1]</a></sup><sup class=""reference"" style=""white-space:nowrap;"">:v</sup>",Delta Air Lines,101,7,14,94
Vietnam Airlines Flight 831,"September 9, 1988","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>, reported lightning strike of aircraft",Vietnam Airlines,84,6,76,14
Ethiopian Airlines Flight 604,15 September 1988,"<a href=""/wiki/Belly_landing"" title=""Belly landing"">Belly landing</a> after <a href=""/wiki/Bird_strike"" title=""Bird strike"">bird strike</a>",Ethiopian Airlines,98,6,35,69
Uganda Airlines Flight 775,17 October 1988,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Uganda Airlines,45,7,33,19
Indian Airlines Flight 113,19 October 1988,"<a href=""/wiki/Air_Traffic_Control"" class=""mw-redirect"" title=""Air Traffic Control"">ATC</a> failure, navigational aid malfunction",Indian Airlines,129,6,133,2
Pan Am Flight 103,21&#160;December&#160;1988,Terrorist bombing,Pan American World Airways,243,16,270,0
United Airlines Flight 811,"February&#160;24,&#160;1989","<a href=""/wiki/Uncontrolled_decompression#Explosive_decompression"" title=""Uncontrolled decompression"">Explosive decompression</a> aircraft design flaw <sup id=""cite_ref-AAR-92-02_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-92-02_Final_Report-1"">[1]</a></sup>",United Airlines,337,18,9,346
United Airlines Flight 232,"July&#160;19,&#160;1989","<a href=""/wiki/Turbine_engine_failure#Contained_and_uncontained_failures"" title=""Turbine engine failure"">Uncontained engine failure</a> due to faulty titanium alloy, loss of control due to damaged hydraulic systems",United Airlines,279,17,111,185
Korean Air Flight 803,27 July 1989,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a> in low visibility, <a href=""/wiki/Controlled_Flight_into_Terrain"" class=""mw-redirect"" title=""Controlled Flight into Terrain"">Controlled Flight into Terrain</a>",Korean Air,181,18,79,124
Olympic Aviation Flight 545,"August&#160;3,&#160;1989",Pilot error,Olympic Aviation,31,3,34,0
Cubana de Aviación Flight 9646,3 September 1989,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a><sup id=""cite_ref-FI1989-17_1-0"" class=""reference""><a href=""#cite_note-FI1989-17-1"">[1]</a></sup>",Cubana de Aviación,115,11,150,0
Partnair Flight 394,8 September 1989,"Improper maintenance, rudder malfunction and loss of control due to <a href=""/wiki/Unapproved_aircraft_part"" title=""Unapproved aircraft part"">substandard parts</a>",Partnair,50,5,55,0
USAir Flight 5050,"September 20, 1989","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, <a href=""/wiki/Aborted_takeoff"" class=""mw-redirect"" title=""Aborted takeoff"">aborted takeoff</a><sup id=""cite_ref-AAR-90-03_final_report_1-0"" class=""reference""><a href=""#cite_note-AAR-90-03_final_report-1"">[1]</a></sup>",USAir,57,6,2,61
China Airlines Flight 204,26 October 1989,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, <a href=""/wiki/CFIT"" class=""mw-redirect"" title=""CFIT"">CFIT</a>, runway confusion",China Airlines,47,7,54,0
Avianca Flight 203,"November 27, 1989",Bombing,Avianca Airlines,101,6,110,0
KLM Flight 867,15 December 1989,"Quadruple engine failure due to blockage by <a href=""/wiki/Volcanic_ash"" title=""Volcanic ash"">volcanic ash</a>",KLM,231,14,0,245
Northwest Airlines Flight 5,"January 4, 1990","In-flight <a href=""/wiki/Turbine_engine_failure"" title=""Turbine engine failure"">engine failure</a> and subsequent loss of the engine",Northwest Airlines,139,6,0,145
SANSA Flight 32,"January 15, 1990","<a href=""/wiki/Controlled_Flight_Into_Terrain"" class=""mw-redirect"" title=""Controlled Flight Into Terrain"">Controlled Flight Into Terrain</a>",Sansa Airlines,20,3,23,0
Avianca Flight 52,"January 25, 1990","<a href=""/wiki/Fuel_exhaustion"" class=""mw-redirect"" title=""Fuel exhaustion"">Fuel exhaustion</a><sup id=""cite_ref-AAR-91-04_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-91-04_Final_Report-1"">[1]</a></sup> caused by pilot and ATC error",Avianca,149,9,73,85
Widerøe Flight 839,12 April 1990,Structural failure due to strong winds,Widerøe,3,2,5,0
Philippine Airlines Flight 143,"May 11, 1990",Fuel tank explosion while on ground,Philippine Airlines,114,6,8,112
Guangzhou Baiyun aircraft collisions,2 October 1990,Hijacking leading to runway collision,China Southern Airlines,93,9,82,20
Alitalia Flight 404,14 November 1990,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> due to NAV receiver failure",Alitalia,40,6,46,0
"Northwest Airlines<br />
Flight 1482&#160;<b>·</b> Flight 299","December&#160;3,&#160;1990","<a href=""/wiki/Runway_incursion"" title=""Runway incursion"">Runway incursion</a> caused by <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a> on the DC-9<sup id=""cite_ref-AAR-91-05_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-91-05_Final_Report-1"">[1]</a></sup>",Northwest Airlines,40,4,8,36
United Airlines Flight 585,"March 3, 1991","<a href=""/wiki/Rudder#Aircraft_rudders"" title=""Rudder"">Rudder</a> hardover<sup id=""cite_ref-AAR01-01_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR01-01_Final_Report-1"">[1]</a></sup>",United Airlines,20,5,25,0
Singapore Airlines Flight 117,26 March 1991,"<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Aircraft hijacking</a>",Singapore Airlines,114,9,4,123
Lauda Air Flight 004,26 May 1991,"In-flight breakup caused by uncommanded <a href=""/wiki/Thrust_reverser"" class=""mw-redirect"" title=""Thrust reverser"">thrust reverser</a> deployment",Lauda Air,213,10,223,0
L'Express Airlines Flight 508,"July 10, 1991",Bad weather-induced collision with obstacles and nearby terrain,L'Express Airlines,13,2,13,2
Nigeria Airways Flight 2120,11 July 1991,"Under-inflated tire which overheated, leading to a fire shortly after takeoff",Nolisair,247,14,261,0
Indian Airlines Flight IC-257,16 August 1991,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>",Indian Airlines,63,6,69,0
Continental Express Flight 2574,"September 11, 1991","In-flight structural failure due to improper maintenance<sup id=""cite_ref-AAR-92-04_final_report_1-0"" class=""reference""><a href=""#cite_note-AAR-92-04_final_report-1"">[1]</a></sup>",Britt Airways,11,3,14,0
Air Inter Flight 148,20 January 1992,"Autopilot design flaw, wind gust, <a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">controlled flight into terrain</a>",Air Inter,90,6,87,9
USAir Flight 405,"March 22, 1992","<a href=""/wiki/Atmospheric_icing"" title=""Atmospheric icing"">Atmospheric icing</a> due to improper <a href=""/wiki/Deicing"" class=""mw-redirect"" title=""Deicing"">deicing</a> procedures, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>, <a href=""/wiki/Runway_excursion"" class=""mw-redirect"" title=""Runway excursion"">runway excursion</a><sup id=""cite_ref-AAR-93-02_Final_report_1-0"" class=""reference""><a href=""#cite_note-AAR-93-02_Final_report-1"">[1]</a></sup>",US Airways,47,4,27,24
Copa Airlines Flight 201,6 June 1992,"<a href=""/wiki/Spatial_disorientation"" title=""Spatial disorientation"">Spatial disorientation</a> caused by instrument malfunction, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot confusion</a> and training error.",Copa Airlines,40,7,47,0
Mandala Airlines Flight 660,24 July 1992,"<a href=""/wiki/Microburst"" title=""Microburst"">Microburst</a>-induced wind shear, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Mandala Airlines,63,7,70,0
TWA Flight 843,"July 30, 1992","<a href=""/wiki/Aborted_takeoff"" class=""mw-redirect"" title=""Aborted takeoff"">Aborted takeoff</a>, <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>, engine fire, maintenance error, instrument malfunction<sup id=""cite_ref-AAR-93-04_Final_Report_1-0"" class=""reference""><a href=""#cite_note-AAR-93-04_Final_Report-1"">[1]</a></sup>",Trans World Airlines,280,12,0,292
El Al Flight 1862,4 October 1992,Engine detachment due to metal fatigue and loss of control,El Al,1,3,43,0
Merpati Nusantara Airlines Flight 5601,18 October 1992,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a> due to pilot error",Merpati Nusantara Airlines,27,4,31,0
Vietnam Airlines Flight 474,14 November 1992,"<a href=""/wiki/CFIT"" class=""mw-redirect"" title=""CFIT"">CFIT</a>",Vietnam Airlines,25,6,30,1
China Southern Airlines Flight 3943,24 November 1992,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",China Southern Airlines,131,10,141,0
"Iran Air Tours EP-ITD<br />
Iranian Air Force Sukhoi Su-24","February 8, 1993","<a href=""/wiki/Mid-air_collision"" title=""Mid-air collision"">Mid-air collision</a>",Iranian Air Force,119,12,131,0
Lufthansa Flight 592,"February 11, 1993","<a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">Hijacking</a>",Lufthansa,94,10,0,104
Palair Macedonian Airlines Flight 301,5 March 1993,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a> aggravated by <a href=""/wiki/Atmospheric_icing"" title=""Atmospheric icing"">icing</a>",Palair Macedonian,92,5,83,14
China Eastern Airlines Flight 583,"April 6, 1993","<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, loss of control",China Eastern Airlines,235,20,2,253
Japan Air System Flight 451,"April 18, 1993",Skidded off runway during landing due to windshear,Japan Air System,72,5,0,77
Flight IC-491,26 April 1993,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Indian Airlines,112,6,55,63
Merpati Nusantara Airlines Flight 724,1 July 1993,"<a href=""/wiki/Controlled_Flight_Into_Terrain"" class=""mw-redirect"" title=""Controlled Flight Into Terrain"">Controlled Flight Into Terrain</a> (CFIT) due to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",Merpati Nusantara Airlines,39,4,41,2
1993 Tajik Air Yakovlev Yak-40 incident,28&#160;August&#160;1993,"Excess takeoff weight, <a href=""/wiki/Runway_overrun"" class=""mw-redirect"" title=""Runway overrun"">runway overrun</a>",Tajik Air,81,5,82,4
China Eastern Airlines Flight 5398,"October 26, 1993",Crash on approach due to bad weather conditions,China Eastern Airlines,71,9,2,78
Widerøe Flight 744,27 October 1993,"<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>, <a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>",Widerøe,17,2,6,13
China Airlines Flight 605,4 November 1993,"Runway overrun, pilot error",China Airlines,374,22,0,396
Avioimpex Flight 110,20 November 1993,"<a href=""/wiki/Pilot_error"" title=""Pilot error"">Pilot error</a>, <a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">controlled flight into terrain</a>",Avioimpex,108,8,116,0
Northwest Airlink Flight 5719,"December&#160;1,&#160;1993","<a href=""/wiki/Controlled_flight_into_terrain"" title=""Controlled flight into terrain"">Controlled flight into terrain</a>, pilot error",Express Airlines I,16,2,18,0
Baikal Airlines Flight 130,3&#160;January&#160;1994,In-flight fire,Baikal Airlines,115,9,125,0
KLM Cityhopper Flight 433,4 April 1994,"Equipment failure leading to <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a>",KLM Cityhopper,24,3,3,21
Federal Express Flight 705,"April&#160;7,&#160;1994","Attempted <a href=""/wiki/Aircraft_hijacking"" title=""Aircraft hijacking"">suicide hijacking</a>",FedEx Express,1,3,0,4
China Airlines Flight 140,26 April 1994,"<a href=""/wiki/Stall_(flight)"" class=""mw-redirect"" title=""Stall (flight)"">Stall</a> caused by <a href=""/wiki/Pilot_error"" title=""Pilot error"">pilot error</a><sup id=""cite_ref-autogenerated1_1-0"" class=""reference""><a href=""#cite_note-autogenerated1-1"">[1]</a></sup>",China Airlines,256,15,264,7
China Northwest Airlines Flight 2303,"June 6, 1994",Mechanical failure due to improper maintenance,China Northwest Airlines,146,14,160,0
Royal Air Maroc Flight 630,21&#160;August&#160;1994,"<a href=""/wiki/Suicide_by_pilot"" title=""Suicide by pilot"">Suicide by pilot</a>",Royal Air Maroc,40,4,44,0
USAir Flight 427,"September&#160;8,&#160;1994","<a href=""/wiki/Rudder"" title=""Rudder"">Rudder</a> hardover<sup id=""cite_ref-NTSB_AAR-99-01_1-0"" class=""reference""><a href=""#cite_note-NTSB_AAR-99-01-1"">[1]</a></sup>",US Airways,127,5,132,0
