title,year,summary,operator,passengers,crew,fatalities,survivors
Japan Air Lines Flight 404,1973,,Japan Air Lines,118,22,1,106
Ozark Air Lines Flight 809,1973,,Ozark Air Lines,41,3,38,6
Delta Air Lines Flight 723,1973,,Delta Air Lines,83,6,89,0
Texas International Airlines Flight 655,1973,,Texas International Airlines,8,3,11,0
National Airlines Flight 27,1973,,National Airlines (NA),116,12,1,127
Turkish Airlines Flight 301,1974,,Turkish Airlines,68,5,66,7
Turkish Airlines Flight 981,1974,,Turkish Airlines,334,12,346,0
1974 Sterling Airways Tehran Caravelle accident,1974,,Sterling Airways,92,4,15,81
TWA Flight 841,1974,,Trans World Airlines,79,9,88,0
Eastern Air Lines Flight 212,1974,,Eastern Air Lines,78,4,72,10
TWA Flight 514,1974,,Trans World Airlines,85,7,92,0
Golden West Airlines Flight 261,1975,,Aircraft registration,10,2,12,0
Turkish Airlines Flight 345,1975,,Turkish Airlines,38,4,42,0
Wien Air Alaska: Flight 99,1975,,Wien Air Alaska,28,4,10,22
Aeroflot Flight 3739,1976,,Aeroflot,104,10,24,90
Aeroflot Flight 1802,1976,,Aeroflot,46,6,52,0
Aeroflot Flight 418,1976,,Aeroflot,42,4,46,0
"British Airways Flight 476<br />
Inex-Adria Aviopromet Flight 550",1976,,Adria Airways,54,9,63,0
Turkish Airlines Flight 452,1976,,Turkish Airlines,146,8,154,0
Aeroflot Flight 2415,1976,,Aeroflot,67,6,73,0
Linjeflyg Flight 618,1977,,Skyline (Sweden),19,3,22,0
Aeroflot Flight 5003,1977,,Aeroflot,92,6,77,15
Southern Airways Flight 242,1977,,Southern Airways,81,4,72,22
1977 Dan-Air/IAS Cargo Boeing 707 crash,1977,,Dan-Air,1,5,6,0
Aeroflot Flight 331,1977,,Aeroflot,61,9,69,2
Convair 240 N55VM crash,1977,,"Addison, Texas",24,2,6,20
Transportes Aéreos Portugueses Flight 425,1977,,TAP Portugal,156,8,131,33
United Airlines Flight 2860,1977,,Aircraft registration,0,3,3,0
Pacific Western Airlines Flight 314,1978,,Pacific Western Airlines,44,5,42,7
1978 LAV HS 748 accident,1978,,Línea Aeropostal Venezolana,43,4,47,0
Korean Air Lines Flight 902,1978,,Korean Air,97,12,2,107
National Airlines Flight 193,1978,,National Airlines (NA),52,6,3,55
Air Canada Flight 189,1978,,Air Canada,102,5,2,105
Helikopter Service Flight 165,1978,,Helikopter Service,16,2,18,0
Air Rhodesia Flight 825,1978,,Air Rhodesia,52,4,48,8
Alitalia Flight 4128,1978,,Alitalia,124,5,108,21
Air Rhodesia Flight 827,1979,,Air Rhodesia,55,4,59,0
Air Rhodesia Flight 825,1978,,Air Rhodesia,52,4,48,8
Air New England Flight 248,1979,,Air New England,8,2,1,9
Dan-Air Flight 0034,1979,,Dan-Air Services Ltd,44,3,17,30
Swissair Flight 316,1979,,Swissair,142,12,14,140
Air New Zealand Flight 901,1979,,Air New Zealand,237,20,257,0
1979 Turkish Airlines Ankara crash,1979,,Turkish Airlines,41,4,41,4
Dan-Air Flight 1008,1980,,Dan-Air Services Ltd,138,8,146,0
Korean Air Lines Flight 015,1980,,Korean Air,206,20,15,211
Aer Lingus flight 164,1981,,Aer Lingus,103,10,0,113
Aeroflot Flight 498,1981,,Aeroflot,44,4,48,0
Dan-Air Flight 240,1981,,Dan-Air Services Ltd,0,3,3,0
Aeroflot Flight 811,1981,,Soviet Air Forces,27,5,31,1
NLM CityHopper Flight 431,1981,,NLM CityHopper,13,4,17,0
World Airways Flight 30,1982,,World Airways,200,12,2,210
Widerøe Flight 933,1982,,Widerøe,13,2,15,0
Spantax Flight 995,1982,,Spantax,381,13,50,344
Aeroflot Flight 343,1982,,Aeroflot,66,11,7,70
Turkish Airlines Flight 158,1983,,Turkish Airlines,60,7,47,20
Air Canada Flight 797,1983,,Air Canada,41,5,23,23
1983 British Airways Sikorsky S-61 crash,1983,,British Airways Helicopters,23,3,20,6
Air Canada Flight 143,1983,,Air Canada,61,8,0,69
Korean Air Lines Flight 007,1983,,Korean Air,246,23,269,0
Aeroflot Flight 6833,1983,,Aeroflot,57,7,8,56
Aeroflot Flight 601,1983,,Aeroflot,44,5,44,5
Aeroflot Flight 3519,1984,,Aeroflot,104,7,110,1
Galaxy Airlines Flight 203,1985,,Galaxy Airlines (USA),65,6,70,1
Iberia Airlines Flight 610,1985,,Iberia (airline),141,7,148,0
Air India Flight 182,1985,,Air India,307,22,329,0
Aeroflot Flight 7425,1985,,Aeroflot,191,9,200,0
Delta Air Lines Flight 191,1985,,Delta Air Lines,152,11,137,27
"Japan Airlines Flight 123<br />
日本航空123便",1985,,Japan Airlines,509,15,520,4
Midwest Express Flight 105,1985,,Midwest Express Airlines,27,4,31,0
EgyptAir Flight 648,1985,,EgyptAir,89,6,60,38
Arrow Air Flight 1285,1985,,Arrow Air,248,8,256,0
Mexicana Flight 940,1986,,Mexicana de Aviacion,159,8,167,0
Air Lanka Flight 512,1986,,Air Lanka,128,20,21,127
Aeroflot Flight 6502,1986,,Aeroflot,87,7,70,24
American Eagle Flight 5452,1987,,Executive Airlines,4,2,2,4
Philippine Airlines Flight 206,1987,,Philippine Airlines,46,4,50,0
South African Airways Flight 295,1987,,South African Airways,140,19,159,0
Korean Air Flight 858,1987,,Korean Air,104,11,115,0
PSA Flight 1771,1987,,Pacific Southwest Airlines,38,5,43,0
Trans-Colorado Airlines Flight 2286,1988,,Trans-Colorado Airlines,15,2,9,8
AVAir Flight 3378,1988,,Aircraft registration,10,2,12,0
Widerøe Flight 710,1988,,Widerøe,33,3,36,0
TACA Flight 110,1988,,Avianca El Salvador,38,7,0,45
